n, cycles
32, 485626
32, 476172
32, 476692
32, 470714
32, 475138
32, 470790
32, 473508
32, 471916
32, 475710
32, 472934
32, 475522
32, 472168
32, 472324
32, 471474
32, 472518
32, 474426
32, 473142
32, 470796
32, 477128
32, 472008
32, 473746
32, 473274
32, 474064
32, 472500
32, 473118
32, 473234
32, 473134
32, 474526
32, 474554
32, 472980
64, 3816544
64, 3785502
64, 3780300
64, 3783572
64, 3772776
64, 3775736
64, 3771808
64, 3787680
64, 3780710
64, 3777258
64, 3791952
64, 3774826
64, 3787068
64, 3794850
64, 3785240
64, 3769714
64, 3767412
64, 3774480
64, 3779736
64, 3777718
64, 3786556
64, 3784268
64, 3786906
64, 3784698
64, 3787014
64, 3799762
64, 3783170
64, 3780848
64, 3795254
64, 3779836
128, 30450686
128, 30397738
128, 30366180
128, 30387228
128, 30369192
128, 30379962
128, 30370794
128, 30369856
128, 30378190
128, 30390146
128, 30368412
128, 30400396
128, 30368144
128, 30390782
128, 30385146
128, 30385472
128, 30368302
128, 30373386
128, 30367998
128, 30357666
128, 30362906
128, 30366446
128, 30400248
128, 30388764
128, 30367502
128, 30372880
128, 30343102
128, 30373538
128, 30383182
128, 30378138
256, 251039390
256, 250738708
256, 250740752
256, 250754478
256, 250843036
256, 250791986
256, 250738772
256, 250705224
256, 250741774
256, 250776316
256, 250753762
256, 250748922
256, 250766482
256, 251082312
256, 250787748
256, 250793494
256, 250794144
256, 250749574
256, 250787028
256, 250857388
256, 250773374
256, 250748984
256, 250784048
256, 250765994
256, 250754304
256, 250770582
256, 250764938
256, 250752562
256, 250764352
256, 250763524
512, 1972492408
512, 1970277012
512, 1970369852
512, 1970632590
512, 1970525276
512, 1970602190
512, 1970082028
512, 1970657290
512, 1970379398
512, 1970460884
512, 1970215592
512, 1970201396
512, 1970159498
512, 1970165852
512, 1971227374
512, 1970039516
512, 1970324662
512, 1969820178
512, 1970192338
512, 1970268138
512, 1970322154
512, 1970085686
512, 1970619056
512, 1970164826
512, 1970250154
512, 1970419868
512, 1970097494
512, 1970423480
512, 1970026870
512, 1970462388
1024, 15724362308
1024, 15714529240
1024, 15714511808
2048, 126021758216
2048, 125979132322
2048, 125993694028
4096, 1027617850888
4096, 1027539235790
4096, 1027364195320
8192, 8267407105938
8192, 8260192860484
8192, 8260966271474
